ID,名称,对应角色,稀有度,类别,目标,词条,关键词,费用,强费,伤害,强伤,防御,强防,魔法,强魔,卡牌效果,升级效果,备注,BUG
Enchanted Moonlit Blossoms,醉花月云转,青衣,罕见,攻击,单体,"输出,DEBUFF",失衡,1,,6,3,,,3,1,对敌人造成{Damage:diff()}点伤害，并造成{Magic:diff()}点失衡。若此卡使敌人失衡值累积至上限，则使敌人下回合进入失衡状态时，失衡易伤倍率额外提升50%。,,,
Eight Sounds of Ganzhou,八声甘州,青衣,罕见,攻击,群体,输出,失衡,2,,8,3,,,6,2,对敌方全体造成{Damage:diff()}点伤害，并造成{Magic:diff()}点失衡。,,,BUG：卡牌数值过时。
Flash Connect,闪络,青衣,普通,技能,单体,输出,失衡,1,,,,,,4,2,对敌人造成{Magic:diff()}点失衡。若打出此牌后目标失衡值未满，则将此牌返还手牌。,,,
Windchimes And Oaths,《风铃与旧约》,耀佳音,罕见,技能,自身,BUFF,,2,,,,12,4,4,-1,获得{Block:diff()}点格挡和1层力量；若于本回合结束前打出至少{Magic:diff()}张牌，则额外获得1层力量。,,,BUG：文本描述未能正确转义。
Fantasian Sonata,《幻想式奏鸣》,耀佳音,罕见,技能,自身,BUFF,喧响,2,,,,15,5,,,获得{Block:diff()}点格挡和1层敏捷。喧响：额外获得1层敏捷。,,,
Flash Freeze Trimming,急冻修剪法,艾莲,普通,攻击,单体,输出,,1,,5,2,,,,,对敌人造成{Damage:diff()}点伤害，下回合继续造成{Damage:diff()}点伤害。,,,
Endless Winter,永冬狂宴,艾莲,普通,攻击,单体,输出,喧响,2,,6,2,,,12,4,对敌人造成{Damage:diff()}点伤害。喧响：额外造成{Magic:diff()}点伤害。,,,
Hisetsu,飞雪,星见雅,稀有,攻击,单体,输出,,1,,8,2,,,2,1,造成{Damage:diff()}点伤害。获得{Magic:diff()}层落霜。,,落霜（Fallen Frost）：能力，每累积6层时，消耗6层，将一张「霜雪」加入手牌。,BUG：落霜效果不包含「每打出1张技能牌，获得1层落霜」，这个效果是能力牌Lingering Snow的效果。
Lingering Snow,名残雪,星见雅,稀有,能力,自身,输出,,2,-1,,,,,,,获得3层落霜。每对敌人施加一次负面状态，获得2层落霜；每打出1张技能牌，获得1层落霜。,,落霜（Fallen Frost）：能力，每累积6层时，消耗6层，将一张「霜雪」加入手牌。忽略「名残雪」日语翻译问题。,
Shimotsuki,霜月,星见雅,基础,攻击,群体,输出,,0,,6,3,,,,,消耗。造成{Damage:diff()}点伤害。,,忽略「霜月」的日语翻译问题。,BUG：消耗关键词在文本描述中重复显示了。
Gekka Ruten,月华流转,月城柳,罕见,技能,单体,DEBUFF,,1,,,,,,2,1,若目标失衡值达到上限或处于失衡状态下，对目标施加{Magic:diff()}层易伤。,,,
Raiei Tenge,雷影天华,月城柳,普通,技能,单体,DEBUFF,喧响,1,,,,,,1,1,施加1层「易伤」。喧响：若目标已有负面效果，则施加{Magic:diff()}层「虚弱」。,,注意，只有喧响值足够且目标已有负面效果时，才激活喧响效果并消耗喧响值。对目标是否有负面效果的判定应该在本卡施加易伤之前。,
Please Do Not Resist,请勿抵抗,朱鸢,普通,攻击,单体,输出,连携,2,,10,4,,,,,造成{Damage:diff()}点伤害。连携：连续打出2张攻击牌。,,,
Full Barrage,全弹连射,朱鸢,普通,攻击,单体,输出,,1,,8,3,,,,,消耗。造成{Damage:diff()}点伤害。若此牌费用不为0，则将一张费用-1的此牌复制加入手牌。,,,
Salchow Jump,萨霍夫跳,简,普通,技能,单体,DEBUFF,连携,1,,,,,,2,1,施加{Magic:diff()}层「易伤」。连携：对敌人施加1层负面效果。,,,
Final Curtain,终幕演出,简,罕见,攻击,单体,输出,喧响,2,,,,,,1,3,目标每有1层负面状态，则造成5点伤害。至多记入10层。喧响：每层负面效果额外造成{Magic:diff()}点伤害。,,,
Overpowered Shield Bash,超强力盾击,凯撒,普通,技能,自身,防御,,1,,,,12,4,,,获得{Block:diff()}点格挡。获得1层「喧嚣直刺」。,,喧嚣直刺（Roaring Thrust）：能力。回合内每次受到敌人攻击并成功格挡时，获得3点喧响值。注释：每回合减少1层。效果不随层数叠加。,
Savage Smash,暴君猛击,凯撒,罕见,技能,单体,"输出,防御",失衡,1,,12,4,,,3,1,造成{Damage:diff()}点伤害。若敌人处于格挡状态，则获得10点格挡并对其造成{Magic:diff()}点失衡。,,,BUG：攻击具有格挡的敌人时，没有触发额外效果。
Mixed Flame Blend,炽焰搅拌式,柏妮思,普通,攻击,单体,输出,失衡,1,,9,,,,1,1,造成{Damage:diff()}点伤害，对目标施加{Magic:diff()}层「灼焰」，抽{Magic:diff()}张牌。,,灼焰（Scorching）：能力。效果持续期间，每受到1次攻击，则受到5点伤害。每回合减少1层。,
Glorious Inferno,纵享盛焰,柏妮思,罕见,技能,自身,DEBUFF,喧响,2,,,,9,3,,,获得{Block:diff()}点格挡。喧响：对敌方全体施加3层「灼焰」。,,灼焰（Scorching）：能力。效果持续期间，每受到1次攻击，则受到5点伤害。每回合减少1层。,
